page_id,page_type,original_size,compressed_size,compression_ratio,label,stage1_pred,feat_distinct,feat_max_freq_ratio,feat_zero_ratio,feat_run_count
rand_0000.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,101,0.0234375,0.0,1
rand_0001.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,103,0.0234375,0.0,0
rand_0002.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,103,0.0234375,0.0,0
rand_0003.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,101,0.0234375,0.0078125,0
rand_0004.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,104,0.0234375,0.0,0
rand_0005.bin,rand,4096,4119,1.005615234375,incompressible,compressible,96,0.03125,0.0,0
rand_0006.bin,rand,4096,4119,1.005615234375,incompressible,compressible,99,0.0234375,0.0,2
rand_0007.bin,rand,4096,4119,1.005615234375,incompressible,compressible,98,0.03125,0.0,2
rand_0008.bin,rand,4096,4119,1.005615234375,incompressible,compressible,77,0.0390625,0.0078125,0
rand_0009.bin,rand,4096,4119,1.005615234375,incompressible,compressible,95,0.0234375,0.015625,2
rand_0010.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,101,0.0234375,0.015625,0
rand_0011.bin,rand,4096,4119,1.005615234375,incompressible,compressible,97,0.0234375,0.0078125,0
rand_0012.bin,rand,4096,4119,1.005615234375,incompressible,compressible,96,0.03125,0.0078125,1
rand_0013.bin,rand,4096,4119,1.005615234375,incompressible,compressible,97,0.0234375,0.0078125,0
rand_0014.bin,rand,4096,4119,1.005615234375,incompressible,compressible,99,0.0234375,0.0,0
rand_0015.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,102,0.0234375,0.0,0
rand_0016.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,101,0.0234375,0.0,0
rand_0017.bin,rand,4096,4119,1.005615234375,incompressible,compressible,97,0.0234375,0.0,3
rand_0018.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,105,0.0234375,0.0078125,0
rand_0019.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,100,0.0234375,0.015625,0
rand_0020.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,103,0.0234375,0.0,0
rand_0021.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,104,0.0234375,0.0,1
rand_0022.bin,rand,4096,4119,1.005615234375,incompressible,compressible,102,0.0390625,0.0,2
rand_0023.bin,rand,4096,4119,1.005615234375,incompressible,compressible,90,0.0234375,0.0078125,1
rand_0024.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,106,0.0234375,0.0,1
rand_0025.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,104,0.0234375,0.0,2
rand_0026.bin,rand,4096,4119,1.005615234375,incompressible,compressible,96,0.03125,0.0,0
rand_0027.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,104,0.0234375,0.0078125,0
rand_0028.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,102,0.0234375,0.0,0
rand_0029.bin,rand,4096,4119,1.005615234375,incompressible,compressible,93,0.0234375,0.0,1
