distinct_max,max_freq_ratio,zero_ratio,run_count,accuracy,precision,recall,fpr,tp,tn,fp,fn
80,0.05,0.15,7,0.799,0.7490636704119851,1.0,0.5025,3000,995,1005,0
80,0.05,0.2,7,0.7988,0.7488766849725412,1.0,0.503,3000,994,1006,0
80,0.05,0.1,10,0.7988,0.7488766849725412,1.0,0.503,3000,994,1006,0
80,0.05,0.1,7,0.7988,0.7488766849725412,1.0,0.503,3000,994,1006,0
80,0.05,0.05,5,0.7988,0.7488766849725412,1.0,0.503,3000,994,1006,0
80,0.05,0.1,5,0.7986,0.7486897928624906,1.0,0.5035,3000,993,1007,0
80,0.05,0.2,5,0.7986,0.7486897928624906,1.0,0.5035,3000,993,1007,0
90,0.05,0.15,5,0.7986,0.7486897928624906,1.0,0.5035,3000,993,1007,0
80,0.04,0.2,10,0.7986,0.7486897928624906,1.0,0.5035,3000,993,1007,0
80,0.04,0.1,5,0.7986,0.7486897928624906,1.0,0.5035,3000,993,1007,0
90,0.05,0.15,7,0.7984,0.7485029940119761,1.0,0.504,3000,992,1008,0
80,0.05,0.15,5,0.7984,0.7485029940119761,1.0,0.504,3000,992,1008,0
80,0.04,0.1,10,0.7984,0.7485029940119761,1.0,0.504,3000,992,1008,0
80,0.04,0.2,5,0.7982,0.7483162883512098,1.0,0.5045,3000,991,1009,0
80,0.04,0.05,10,0.7982,0.7483162883512098,1.0,0.5045,3000,991,1009,0
80,0.05,0.05,7,0.7982,0.7483162883512098,1.0,0.5045,3000,991,1009,0
80,0.05,0.15,10,0.7982,0.7483162883512098,1.0,0.5045,3000,991,1009,0
80,0.04,0.15,10,0.798,0.7481296758104738,1.0,0.505,3000,990,1010,0
80,0.05,0.1,3,0.798,0.7481296758104738,1.0,0.505,3000,990,1010,0
90,0.05,0.05,3,0.798,0.7481296758104738,1.0,0.505,3000,990,1010,0
80,0.05,0.05,3,0.7978,0.7479431563201197,1.0,0.5055,3000,989,1011,0
80,0.05,0.15,3,0.7978,0.7479431563201197,1.0,0.5055,3000,989,1011,0
80,0.04,0.05,3,0.7978,0.7479431563201197,1.0,0.5055,3000,989,1011,0
80,0.04,0.15,5,0.7978,0.7479431563201197,1.0,0.5055,3000,989,1011,0
90,0.04,0.1,3,0.7978,0.7479431563201197,1.0,0.5055,3000,989,1011,0
80,0.04,0.05,5,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
80,0.04,0.2,7,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
90,0.04,0.15,7,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
90,0.05,0.1,5,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
80,0.05,0.2,3,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
90,0.05,0.1,3,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
90,0.05,0.05,5,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
80,0.05,0.05,10,0.7976,0.7477567298105683,1.0,0.506,3000,988,1012,0
80,0.05,0.2,10,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
80,0.04,0.05,7,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
90,0.05,0.1,10,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
90,0.05,0.05,7,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
90,0.04,0.05,5,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
90,0.04,0.15,10,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
80,0.04,0.15,3,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
90,0.05,0.2,5,0.7974,0.74757039621231,1.0,0.5065,3000,987,1013,0
90,0.04,0.1,10,0.7972,0.7473841554559043,1.0,0.507,3000,986,1014,0
90,0.04,0.05,7,0.7972,0.7473841554559043,1.0,0.507,3000,986,1014,0
90,0.05,0.05,10,0.7972,0.7473841554559043,1.0,0.507,3000,986,1014,0
90,0.05,0.1,7,0.7972,0.7473841554559043,1.0,0.507,3000,986,1014,0
90,0.04,0.2,10,0.7972,0.7473841554559043,1.0,0.507,3000,986,1014,0
90,0.04,0.15,3,0.797,0.7471980074719801,1.0,0.5075,3000,985,1015,0
90,0.05,0.15,10,0.797,0.7471980074719801,1.0,0.5075,3000,985,1015,0
90,0.05,0.15,3,0.797,0.7471980074719801,1.0,0.5075,3000,985,1015,0
