page_id,page_type,original_size,compressed_size,compression_ratio,label,two_stage_pred,stage_used,stage1_score,stage2_ratio,feat_distinct,feat_max_freq_ratio,feat_zero_ratio,feat_run_count,stage1_only_pred
rand_0000.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,104,0.0234375,0.0,0,incompressible
rand_0001.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.2421875,-1.0,89,0.03125,0.0,0,incompressible
rand_0002.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.21875,-1.0,94,0.0234375,0.0,0,incompressible
rand_0003.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,99,0.03125,0.0,0,incompressible
rand_0004.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12453125,-1.0,98,0.0390625,0.0078125,1,incompressible
rand_0005.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.08890624999999999,-1.0,104,0.0234375,0.0078125,2,incompressible
rand_0006.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,100,0.03125,0.0,0,incompressible
rand_0007.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13234375,-1.0,99,0.03125,0.0078125,1,incompressible
rand_0008.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14015625,-1.0,100,0.0234375,0.0078125,1,incompressible
rand_0009.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.120625,-1.0,102,0.03125,0.0,1,incompressible
rand_0010.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1909375,-1.0,95,0.0234375,0.0,1,incompressible
rand_0011.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0012.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1475,-1.0,98,0.0234375,0.0,2,incompressible
